,,Result Mean,Result Lower Bound,Result Upper Bound,Effect Size,Effect Upper Bound,Effect Lower Bound,Effect P Value
"('caveman', 'indep')",confidence,52.28333333333333,45.9,57.54999999999999,2.3999999999999986,10.049999999999997,-9.899999999999999,0.7364148859333715
"('caveman', 'indep')",consensus,52.76666666666666,48.6,55.15,3.1499999999999986,12.449999999999996,-6.949999999999996,0.6312425012381213
"('caveman', 'indep')",net spoke 5% similarity,-0.17399560811395198,-0.20609482247504904,-0.12955910780517624,-0.0552522832920996,-0.014694392963967184,-0.08795285628063403,0.12398887867080115
"('caveman', 'indep')",net spoke 95% similarity,0.2828753603106722,0.22137867199767924,0.3143876943559193,0.12493056429803422,0.1655325286423851,0.09099097917942034,0.02906058881645992
"('caveman', 'indep')",net spoke PC1,0.19926446575514614,0.15444780508942102,0.23727746031562255,0.1288870142057761,0.15281484581652838,0.11493039807483202,0.008584314494023706
"('caveman', 'indep')",spoke 5% similarity,-0.3421275520417939,-0.4183300132670376,-0.2945254195939342,-0.14851003744397387,0.005226973530815249,-0.3259455712602046,0.263095445600804
"('caveman', 'indep')",spoke 95% similarity,0.8370495484032885,0.8038941188600169,0.900422518413643,0.1064422564696869,0.22960212516370615,0.0003226902885881122,0.2517533785220005
"('caveman', 'indep')",spoke PC1,0.4041076206020604,0.38263531453030303,0.422482497679142,0.06755374497219933,0.11504182037110555,0.03986103871311647,0.10534349963832239
"('caveman', 'indep')",survey 5% similarity,-0.6125995212179743,-0.7253465880215129,-0.490766294353157,-0.19872771088290908,-0.13580296743555736,-0.23303733434904453,0.024223823618303136
"('caveman', 'indep')",survey 95% similarity,0.7292515122759126,0.7164796700558566,0.7477891711006218,0.04663034034335908,0.17275886246974304,-0.016895347587118192,0.536669348585264
"('caveman', 'indep')",survey PC1,0.3682611632925967,0.3048156137662406,0.44028096366019415,0.050674964160116465,0.08050086703760945,0.020677929407211082,0.09916414927953296
"('caveman', 'inter')",confidence,56.76666666666667,52.35,64.45,6.8833333333333355,10.149999999999999,1.8500000000000014,0.11447779454000019
"('caveman', 'inter')",consensus,58.333333333333336,51.6,66.3,8.716666666666667,10.75,6.5,0.01934492867054018
"('caveman', 'inter')",net spoke 5% similarity,-0.12273630041734555,-0.17434775729254412,-0.05426920452141604,-0.00399297559549316,0.032046561659587,-0.03136253544919265,0.851566044564537
"('caveman', 'inter')",net spoke 95% similarity,0.3823368184527898,0.29633688365036437,0.47272523919064,0.2243920224401518,0.34233754637238106,0.14900969771433148,0.0641137093865736
"('caveman', 'inter')",net spoke PC1,0.24732032324869135,0.2108152236216282,0.2845025017168704,0.1769428716993213,0.22851979257565513,0.09245356203197358,0.05333549352273544
"('caveman', 'inter')",spoke 5% similarity,-0.3533039874570291,-0.43033148291193535,-0.2886751345948129,-0.1596864728592091,-0.06878365950545923,-0.32009528626108336,0.19193463060080154
"('caveman', 'inter')",spoke 95% similarity,0.8931559736117217,0.78304646383437,1.0,0.16254868167812012,0.19642857142857129,0.11222607058443312,0.024025251767315355
"('caveman', 'inter')",spoke PC1,0.43492965755074836,0.3971251383882726,0.5055997871594159,0.09837578192088725,0.16282551134222933,0.022401016541506613,0.13820476538035656
"('caveman', 'inter')",survey 5% similarity,-0.5567540401828018,-0.5778600195260939,-0.5391927733342311,-0.14288222984773663,-0.05331005949053541,-0.3144365560370623,0.23778934644295738
"('caveman', 'inter')",survey 95% similarity,0.7881661348895035,0.6865642866187297,0.8737832934063717,0.10554496295695008,0.29875298477549295,-0.05289390290507723,0.4132173462209784
"('caveman', 'inter')",survey PC1,0.423766388096621,0.3542927676671532,0.48842649738824145,0.10618018896414068,0.2092404519744954,-0.06531026658583,0.3437484649534357
"('dodec', 'indep')",confidence,48.989999999999995,45.452749999999995,52.64,0.0,0.0,0.0,
"('dodec', 'indep')",consensus,49.07000000000001,44.58225,54.08,0.0,0.0,0.0,
"('dodec', 'indep')",net spoke 5% similarity,-0.06784983271809457,-0.13487738892591167,-0.006552932361139902,0.0,0.0,0.0,
"('dodec', 'indep')",net spoke 95% similarity,0.1179866051677844,0.07040219899582648,0.1657813743192058,0.0,0.0,0.0,
"('dodec', 'indep')",net spoke PC1,0.05969079289292365,0.026537346782093695,0.09501592112630222,0.0,0.0,0.0,
"('dodec', 'indep')",spoke 5% similarity,-0.1775636958271103,-0.2747674355756,-0.06903184731573518,0.0,0.0,0.0,
"('dodec', 'indep')",spoke 95% similarity,0.6988519741677907,0.6489225840818355,0.7582096775225224,0.0,0.0,0.0,
"('dodec', 'indep')",spoke PC1,0.29928785465143104,0.2531437043921549,0.3454320049107072,0.0,0.0,0.0,
"('dodec', 'indep')",survey 5% similarity,-0.3958190433952732,-0.5051139941964967,-0.27711379007684667,0.0,0.0,0.0,
"('dodec', 'indep')",survey 95% similarity,0.7110584276458118,0.6395848266118837,0.760271642364075,0.0,0.0,0.0,
"('dodec', 'indep')",survey PC1,0.31808908894308036,0.266843449102499,0.3765118697168084,0.0,0.0,0.0,
"('dodec', 'inter')",confidence,53.379999999999995,48.220000000000006,58.21,4.390000000000001,11.03,-0.6299999999999983,0.2296620900788207
"('dodec', 'inter')",consensus,53.02,51.510000000000005,53.98075,3.9500000000000015,9.73,-1.829999999999997,0.5756277268513854
"('dodec', 'inter')",net spoke 5% similarity,-0.09727830755277136,-0.13957672246622135,-0.05278190358407,-0.0294284748346768,0.013731870266722738,-0.0988714349072054,0.2584538999098393
