,10,10,10
% susceptible (inter) (dodec),0.22272727272727275,0.23409090909090907,0.8250000000000001
% adopted (inter) (dodec),0.20681818181818182,0.15454545454545454,0.8068181818181818
95% similarity (inter) (dodec),0.7178104575163398,0.7602042144546466,1.0
5% similarity (inter) (dodec),-0.19364916731037085,-0.19028906379285382,0.7698003589195004
90% similarity (inter) (dodec),0.6420707920165691,0.6383106423916776,1.0
10% similarity (inter) (dodec),-0.10000000000000003,-0.16495721976846447,0.7698003589195006
85% similarity (inter) (dodec),0.5830951894845304,0.5515473368055768,1.0
15% similarity (inter) (dodec),-0.029675189431646667,-0.14907119849998585,0.7698003589195006
80% similarity (inter) (dodec),0.5416666666666666,0.46291004988627577,1.0
20% similarity (inter) (dodec),-0.024056261216234394,-0.11834526708278773,0.8692269873603534
75% similarity (inter) (dodec),0.4816762262262203,0.4370415209168246,1.0
25% similarity (inter) (dodec),0.025565499628245662,-0.10286889997472792,0.8692269873603534
std similarity (inter) (dodec),0.2793498703312621,0.3234850702035622,0.09397037612365149
PC1 percent of variance (inter) (dodec),27.29698485866532,44.73225447296556,61.60604777269623
expected PC1 percent of variance (inter) (dodec),21.09945480963258,21.758240026716223,49.79706012727473
expected 95% similarity (inter) (dodec),0.6340860679157233,0.5767242594301148,1.0
expected 5% similarity (inter) (dodec),-0.17365841083805234,-0.18810674438807223,0.8248788411392435
expected 10% similarity (inter) (dodec),-0.11524828695155824,-0.16113127453303647,0.8269552136731453
expected 15% similarity (inter) (dodec),-0.023473064204251298,-0.14257824162021696,0.8662441885071277
expected 20% similarity (inter) (dodec),0.03595732019106001,-0.12319000563846297,0.8692269873603533
expected 25% similarity (inter) (dodec),0.08392009408345028,-0.10715066596872357,0.8692269873603533
expected 75% similarity (inter) (dodec),0.4145106807842047,0.32974382037467964,1.0
expected 80% similarity (inter) (dodec),0.458580421693947,0.3741240756377941,1.0
expected 85% similarity (inter) (dodec),0.5003203189549933,0.43071734837647435,1.0
expected 90% similarity (inter) (dodec),0.5592024405086506,0.4922138149296036,1.0
expected std similarity (inter) (dodec),0.24384700214837912,0.2572035188052423,0.07992733409089092
net PC1 percent of variance (inter) (dodec),6.197530049032739,22.974014446249335,11.808987645421496
net 95% similarity (inter) (dodec),0.08372438960061646,0.18347995502453174,0.0
net 5% similarity (inter) (dodec),-0.019990756472318516,-0.0021823194047815853,-0.0550784822197431
net 10% similarity (inter) (dodec),0.015248286951558207,-0.0038259452354280077,-0.05715485475364468
net 15% similarity (inter) (dodec),-0.006202125227395369,-0.006492956879768891,-0.0964438295876271
net 20% similarity (inter) (dodec),-0.0600135814072944,0.004844738555675243,1.1102230246251565e-16
net 25% similarity (inter) (dodec),-0.05835459445520461,0.004281765993995643,1.1102230246251565e-16
net 75% similarity (inter) (dodec),0.06716554544201558,0.10729770054214494,0.0
net 80% similarity (inter) (dodec),0.1834903703226221,0.26418656675388347,0.0
net 85% similarity (inter) (dodec),0.08277487052953714,0.12082998842910242,0.0
net 90% similarity (inter) (dodec),0.08286835150791849,0.14609682746207397,0.0
net std similarity (inter) (dodec),0.03550286818288295,0.06628155139831993,0.014043042032760564
% susceptible (indep) (dodec),0.04318181818181818,0.075,0.3068181818181818
% adopted (indep) (dodec),0.07727272727272728,0.059090909090909104,0.27954545454545454
95% similarity (indep) (dodec),0.6900655593423538,0.6900655593423541,0.588006491449651
5% similarity (indep) (dodec),-0.1256561724875087,-0.12565617248750868,-0.2556549962824569
90% similarity (indep) (dodec),0.4499999999999999,0.45,0.5610114914664612
10% similarity (indep) (dodec),-0.11834526708278768,-0.11834526708278774,-0.2154985579603079
85% similarity (indep) (dodec),0.3350831266333563,0.27044071440218354,0.49951243284357016
15% similarity (indep) (dodec),-0.10000000000000003,-0.1091726335413939,-0.1429539739529383
80% similarity (indep) (dodec),0.20579830217101086,-0.04761904761904758,0.4321294074013013
20% similarity (indep) (dodec),-0.10000000000000003,-0.10000000000000002,-0.06122652986422043
75% similarity (indep) (dodec),-0.04761904761904759,-0.04761904761904759,0.3985266984930429
25% similarity (indep) (dodec),-0.08671099695241202,-0.08671099695241197,0.012926112238824724
std similarity (indep) (dodec),0.24962383065533475,0.24489064398818122,0.27354005983913116
PC1 percent of variance (indep) (dodec),23.109865717778927,31.0434571871616,29.271284061091603
expected PC1 percent of variance (indep) (dodec),22.57551345721218,23.113783096699308,18.714142987826413
expected 95% similarity (indep) (dodec),0.6206129383811576,0.6068575431003413,0.5395840428477036
expected 5% similarity (indep) (dodec),-0.1398763176015615,-0.12616661552795044,-0.18220422402433875
expected 10% similarity (indep) (dodec),-0.12460599544210335,-0.11207600030138248,-0.09875987904466493
expected 15% similarity (indep) (dodec),-0.1127108569244081,-0.09995010734278663,-0.043894937174661565
expected 20% similarity (indep) (dodec),-0.1023942236598138,-0.09360234362276149,-0.0014436305011488188
expected 25% similarity (indep) (dodec),-0.09520739765448251,-0.08796808844190551,0.0359855502226937
expected 75% similarity (indep) (dodec),0.07922022750281363,-0.03161897329683936,0.33449676707873544
expected 80% similarity (indep) (dodec),0.2600174711401247,0.011962731150046124,0.37978166810494407
expected 85% similarity (indep) (dodec),0.3699776377959584,0.22615424934085482,0.4140166756197581
expected 90% similarity (indep) (dodec),0.4868083862719218,0.45104575188319596,0.4702481016938669
expected std similarity (indep) (dodec),0.2584799488930107,0.24691173350777262,0.21973535649709405
net PC1 percent of variance (indep) (dodec),0.5343522605667488,7.929674090462292,10.55714107326519
net 95% similarity (indep) (dodec),0.0694526209611962,0.0832080162420128,0.04842244860194744
net 5% similarity (indep) (dodec),0.014220145114052785,0.0005104430404417604,-0.07345077225811816
net 10% similarity (indep) (dodec),0.006260728359315668,-0.0062692667814052555,-0.11673867891564296
net 15% similarity (indep) (dodec),0.01271085692440807,-0.009222526198607264,-0.09905903677827674
net 20% similarity (indep) (dodec),0.00239422365981376,-0.006397656377238534,-0.059782899363071615
net 25% similarity (indep) (dodec),0.008496400702070486,0.0012570914894935448,-0.023059437983868978
net 75% similarity (indep) (dodec),-0.12683927512186122,-0.01600007432220823,0.06402993141430746
net 80% similarity (indep) (dodec),0.1899825288598752,0.43803726884995386,0.18122982336151716
net 85% similarity (indep) (dodec),-0.03489451116260206,0.04428646506132872,0.08549575722381209
net 90% similarity (indep) (dodec),-0.0368083862719219,-0.0010457518831959445,0.09076338977259435
net std similarity (indep) (dodec),-0.00885611823767593,-0.0020210895195914014,0.0538047033420371
% susceptible (inter) (caveman),0.1318181818181818,0.13863636363636364,0.5568181818181818
% adopted (inter) (caveman),0.10681818181818183,0.11363636363636362,0.425
95% similarity (inter) (caveman),0.6140350877192983,0.7071173744314314,0.8270867259240371
5% similarity (inter) (caveman),-0.19436251122733114,-0.21549855796030798,-0.20909724770975185
90% similarity (inter) (caveman),0.5491696473652761,0.587024231056627,0.7262465661029873
10% similarity (inter) (caveman),-0.1714985851425089,-0.17149858514250899,-0.09296403016326972
85% similarity (inter) (caveman),0.41663054538992844,0.4629100498862757,0.6471502289294341
15% similarity (inter) (caveman),-0.1578947368421053,-0.160615506502186,-0.03744485572358925
80% similarity (inter) (caveman),0.3350831266333563,0.383963673868847,0.6225317562548819
