,surv,upper,lower,std.err,hazard
0.0,1.0,1.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0
3.0,1.0,1.0,1.0,0.0,0.0
4.0,1.0,1.0,1.0,0.0,0.0
5.0,1.0,1.0,1.0,0.0,0.0
6.0,1.0,1.0,1.0,0.0,0.0
7.0,1.0,1.0,1.0,0.0,0.0
8.0,1.0,1.0,1.0,0.0,0.0
9.0,1.0,1.0,1.0,0.0,0.0
10.0,1.0,1.0,1.0,0.0,0.0
11.0,1.0,1.0,1.0,0.0,0.0005063133378767331
12.0,1.0,1.0,1.0,0.0,0.0005452131763724158
13.0,0.9971815088654475,1.0,0.9882398738915664,0.0045984826736094955,0.0006226702955608437
14.0,0.996714401926548,1.0,0.9865387282689435,0.005239871800106793,0.0006615774824147855
15.0,0.9962472949876484,1.0,0.9848375826463207,0.0058812609266040905,0.0009868519760150708
16.0,0.9957801880487489,1.0,0.9831364370236978,0.0065226500531013875,0.0011009783348147
17.0,0.9929911995758505,1.0,0.9730810656064934,0.010334071377946135,0.001214831518386259
18.0,0.9929911995758505,1.0,0.9730810656064934,0.010334071377946135,0.0013285119453087149
19.0,0.9918293371627721,1.0,0.9689324364920442,0.011920958373309727,0.0017742875211002108
20.0,0.9898972098071948,1.0,0.9620527917113502,0.014561109934979694,0.0019964492960656273
21.0,0.9891269448646957,1.0,0.9593217760451052,0.015614374501286067,0.002326726914402189
22.0,0.9875899635428943,1.0,0.9538902041876101,0.017717900763009196,0.0027662208526825637
23.0,0.986823247163592,1.0,0.95118964799636,0.018768162458425955,0.0031510516614645695
24.0,0.9803640767158557,1.0,0.9286669694923235,0.02764435392805315,0.0032837355073262755
25.0,0.9781173356571333,1.0,0.9209266703785024,0.030744085934932573,0.003429862769494423
26.0,0.9758837263934363,1.0,0.9132785911764805,0.033832497773889116,0.0036838967814072933
27.0,0.9736619854869996,1.0,0.9057173311941222,0.03691135311671927,0.003833133961912203
28.0,0.9648866968069931,1.0,0.8762973819393316,0.04914015685741173,0.00412620787258059
29.0,0.9605688184588135,1.0,0.8620796370612768,0.05519780537326703,0.004458966388900562
30.0,0.9541522942112478,1.0,0.8412615603001943,0.06425030829890313,0.004575474438181032
31.0,0.9456425155979619,1.0,0.8267999854355399,0.0685225300628563,0.004599440114920145
32.0,0.9382749159813062,1.0,0.8209210225419338,0.06817272478146597,0.004789720159753924
33.0,0.9330678497954845,1.0,0.8167603264155302,0.06792580153985323,0.005044489632063304
34.0,0.9299765664938414,1.0,0.8142886074901082,0.0677790672380772,0.005237253551281736
35.0,0.9248295933615567,1.0,0.8101684848585873,0.06753550820282755,0.005225800706351461
36.0,0.9217530623289728,1.0,0.8077034911454599,0.06739018455498592,0.005438426342010532
37.0,0.9136315592722369,1.0,0.8011884261629971,0.06700695785404102,0.005699524154678955
38.0,0.9076122934738626,1.0,0.7963523666577851,0.06672343946408518,0.0056602319957697635
39.0,0.9046186015430848,1.0,0.7939444663674531,0.06658275730611392,0.005358146906190127
40.0,0.9026310523683418,1.0,0.7923450269417616,0.06648941399604252,0.005298203461950379
41.0,0.8986837611270859,1.0,0.7891666531297078,0.06630407100294694,0.005469493798116222
42.0,0.8928141222269899,1.0,0.7844352580879339,0.06602890384642111,0.005615275041471445
43.0,0.88893840620656,1.0,0.7813078479088449,0.0658474411521272,0.005620759052023492
44.0,0.8832010453197061,1.0,0.7766741120816496,0.06557871774061193,0.0054536405531048805
45.0,0.8775479066876932,0.9973927494517638,0.772103401220549,0.0653139451368261,0.0057429509215674674
46.0,0.8710832909109418,0.989456666928294,0.7668714811532276,0.06501056812657723,0.006101803682387582
47.0,0.8701698272015578,0.9883361300060762,0.7661315928125364,0.06496770627166196,0.006244098901447707
48.0,0.8674400213314769,0.9849881676457245,0.7639200300304433,0.06483958879077209,0.0060449698141217985
49.0,0.8647201384824946,0.9816546359716917,0.7617148594265373,0.06471218224574365,0.0061434035764652345
50.0,0.8557430854925385,0.9706648257748617,0.7544274952247617,0.06429247684153339,0.006368841465561164
51.0,0.845174510887347,0.9577528860824193,0.7458290846416555,0.06380045011094651,0.006608351322496171
52.0,0.838270890370812,0.9493332716332438,0.7402016877412878,0.06348000832924372,0.006597753859652172
53.0,0.8365634812115358,0.9472526504755497,0.7388086609620539,0.06340083821972328,0.006334428528763401
54.0,0.8289330223999637,0.9379640234107014,0.7325760247461738,0.06304821723569949,0.00650720811126428
55.0,0.8181233651804951,0.9248312405963837,0.7237275460887557,0.06255118158151554,0.006383005545786919
56.0,0.8132360158410101,0.9189022978091239,0.719720499713324,0.06232683817996165,0.0064408003922638585
57.0,0.8092064509810845,0.9140182834775546,0.7164135468035004,0.062142212157946075,0.006399705464813062
58.0,0.8021347614048626,0.9054521763514537,0.7106064742305727,0.0618163223402612,0.006564178055810876
59.0,0.7959624872248294,0.897985169720118,0.7055308990098024,0.06153247054760243,0.006753864818389625
60.0,0.7906289110383973,0.8915405975013226,0.7011392153331913,0.06128799149482249,0.006854524890168266
61.0,0.7875941734521271,0.8878776154440802,0.6986374825380504,0.06114957474091713,0.006735777061514593
62.0,0.7868296223413138,0.8869556283979154,0.6980065717141162,0.06111497686474583,0.0065493160101649595
63.0,0.7807669387424556,0.8796488044908861,0.6930004477007059,0.06084090584541292,0.006455854007371206
