,surv,upper,lower,std.err,hazard
0.0,1.0,1.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0
3.0,1.0,1.0,1.0,0.0,0.0
4.0,1.0,1.0,1.0,0.0,0.0
5.0,1.0,1.0,1.0,0.0,0.0
6.0,1.0,1.0,1.0,0.0,0.0
7.0,1.0,1.0,1.0,0.0,0.0
8.0,1.0,1.0,1.0,0.0,0.0
9.0,1.0,1.0,1.0,0.0,0.0
10.0,1.0,1.0,1.0,0.0,0.0
11.0,1.0,1.0,1.0,0.0,0.00027062880231872217
12.0,1.0,1.0,1.0,0.0,0.0002914093476569908
13.0,0.9984963368981522,1.0,0.9937813486315531,0.002415755843221373,0.0003328525289784938
14.0,0.9982465869592876,1.0,0.9928804357420495,0.002751255090473308,0.0003536151412454866
15.0,0.997996837020423,1.0,0.9919795228525461,0.0030867543377252433,0.0005892095497882717
16.0,0.9977470870815583,1.0,0.9910786099630425,0.0034222535849771783,0.0006504361055656995
17.0,0.996252645209846,1.0,0.9857302484639182,0.005417522902783446,0.0007115463548150498
18.0,0.996252645209846,1.0,0.9857302484639182,0.005417522902783446,0.0007725146724223503
19.0,0.9956300882153433,1.0,0.9835166999684652,0.006246803877075765,0.0010127016758473633
20.0,0.9945941311210541,1.0,0.9798393410193447,0.007626765793702732,0.00113227271530432
21.0,0.9941807310212678,1.0,0.9783755305656772,0.008177446736037378,0.0013099193551326482
22.0,0.9933553473662715,1.0,0.9754582861488916,0.009277264850936691,0.0015196558438066938
23.0,0.9929433638110614,1.0,0.9740048521857737,0.009826402023501357,0.0016887308886639795
24.0,0.9882488373592699,1.0,0.95756067233974,0.01609605596605787,0.001733516986732834
25.0,0.987036170463311,1.0,0.9533467335028636,0.017719841826185672,0.0017941602243249362
26.0,0.9858282671032503,1.0,0.9491628860283013,0.019339114820282197,0.0019018164664529927
27.0,0.9846258495186744,1.0,0.945011422429249,0.0209528918478664,0.0019629052186364094
28.0,0.9798661730606175,1.0,0.9287078495957237,0.027359661931986343,0.002075153730441626
29.0,0.9775144050482936,1.0,0.9207279738753383,0.03053654740015426,0.002216793103153682
30.0,0.9740205841429757,1.0,0.9089647216577468,0.035270165684194735,0.002258126397839082
31.0,0.9699066462825585,1.0,0.9015414545212277,0.037293423666277706,0.002255394791076754
32.0,0.9666148751582395,1.0,0.8989410601339323,0.037032658908563165,0.0023299229359353513
33.0,0.9642851253840956,1.0,0.8970987853424396,0.036848129993900504,0.002428022099156763
34.0,0.962901986150307,1.0,0.8960045676965045,0.03673848940600808,0.0025022393650819437
35.0,0.9606025466566119,1.0,0.8941840042383276,0.03655635206527814,0.0023976612538557287
36.0,0.959227255556644,1.0,0.8930943940237275,0.03644747509287812,0.0024723692339090704
37.0,0.955614392120208,1.0,0.8902299936495617,0.03616118844296916,0.0025680896492831754
38.0,0.9529366555437374,1.0,0.8881047384709644,0.035949001492348,0.0025333914267781196
39.0,0.9516058609922315,1.0,0.8870477272885979,0.03584357674672389,0.0023548706469962554
40.0,0.9507221077882602,1.0,0.88634554578497,0.03577356488470056,0.0023016804791328575
41.0,0.9489643341638072,1.0,0.8849483118689895,0.0356343015558308,0.0023374364045670995
42.0,0.9463492893767378,1.0,0.8828680766069416,0.035427137790548985,0.0023791869178248514
43.0,0.9446213864577018,1.0,0.8814925545976259,0.03529024761969246,0.002377383836378571
44.0,0.9420571714101863,1.0,0.8794499088178778,0.035087036707164315,0.0023007522473058642
45.0,0.939522703618866,1.0,0.8774292805047599,0.03488614974906314,0.0024188232088277668
46.0,0.9366016839244062,1.0,0.8750984137149688,0.034654586689083854,0.0025687949706829773
47.0,0.9361870956593836,1.0,0.8747673554239036,0.034621731638547676,0.0026234133234886974
48.0,0.934946538269452,1.0,0.873776560824575,0.03452341886152366,0.002537146099702588
49.0,0.9337102067558887,0.9988842238388398,0.8727885904444186,0.03442549527362372,0.002578818585086967
50.0,0.9296396382255039,0.993901125289661,0.8695330333794954,0.034103012231001116,0.0026714752365219604
51.0,0.9248402041288539,0.9880336616459651,0.865688528247847,0.033722950838599025,0.0027678626235204794
52.0,0.9216893920025386,0.9841864567267713,0.8631609718389375,0.03347360399580114,0.0027582698478654222
53.0,0.9209075523754744,0.9832324069869585,0.8625333309836394,0.03341175535897686,0.0026431766612065436
54.0,0.9174083857704433,0.978965664193109,0.8597218238247735,0.03313522451439633,0.00271249374375871
55.0,0.9124120457404041,0.9728824566070211,0.8557002322689935,0.03274118883981347,0.0026573019160259295
56.0,0.9101408901385694,0.9701203267883313,0.853869793093089,0.03256216689468408,0.002679793179922532
57.0,0.9082623013340841,0.9678371797368935,0.8523545336922752,0.03241419529828391,0.0026597997404826023
58.0,0.9049306081535473,0.9637909002397569,0.8496650134401437,0.03215164860919638,0.0027196871554693966
59.0,0.9020074628025931,0.9602444215390227,0.8473024651534106,0.031921525284896106,0.002791570199676043
60.0,0.8994760310866986,0.9571760031987161,0.8452542978467399,0.031722460369864904,0.002825524378261182
61.0,0.8980363377420353,0.9554322318977675,0.8440883999729037,0.03160940953415173,0.0027761467312665098
62.0,0.8976749991740886,0.9549948246702725,0.8437955743916806,0.031581096069123016,0.0027018865234782895
63.0,0.8948057417695818,0.9515230803973781,0.841469150244405,0.03135632801179293,0.0026616776467171988
