,surv,upper,lower,std.err,hazard
0.0,1.0,1.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0
3.0,1.0,1.0,1.0,0.0,0.0
4.0,1.0,1.0,1.0,0.0,0.0
5.0,1.0,1.0,1.0,0.0,0.0
6.0,1.0,1.0,1.0,0.0,0.0
7.0,1.0,1.0,1.0,0.0,0.0
8.0,1.0,1.0,1.0,0.0,0.0
9.0,1.0,1.0,1.0,0.0,0.0
10.0,1.0,1.0,1.0,0.0,0.0
11.0,1.0,1.0,1.0,0.0,1.5564759865106697e-05
12.0,1.0,1.0,1.0,0.0,1.556500213062716e-05
13.0,1.0,1.0,1.0,0.0,1.5565244403689467e-05
14.0,1.0,1.0,1.0,0.0,1.5565486684293968e-05
15.0,1.0,1.0,1.0,0.0,3.112943035502187e-05
16.0,1.0,1.0,1.0,0.0,3.113039942662275e-05
17.0,1.0,1.0,1.0,0.0,4.668292523669237e-05
18.0,0.9998443584576571,1.0,0.999536722315592,0.00015705731026465817,4.668510463394166e-05
19.0,0.999688716915314,1.0,0.9990734446311841,0.00031411462052931635,6.22893316538649e-05
20.0,0.999688716915314,1.0,0.9990734446311841,0.00031411462052931635,7.79096705583898e-05
21.0,0.999688716915314,1.0,0.9990734446311841,0.00031411462052931635,7.791574094809837e-05
22.0,0.999688716915314,1.0,0.9990734446311841,0.00031411462052931635,7.792181228383847e-05
23.0,0.999688716915314,1.0,0.9990734446311841,0.00031411462052931635,7.792788456583128e-05
24.0,0.999377484066824,1.0,0.9985001491036785,0.0004481036533657011,0.00010134791387272533
25.0,0.999377484066824,1.0,0.9985001491036785,0.0004481036533657011,0.00010915421680115128
26.0,0.9990665231182545,1.0,0.9979835553950395,0.0005533609456336693,0.00014032742998480128
27.0,0.9990665231182545,1.0,0.9979835553950395,0.0005533609456336693,0.00015596102735500062
28.0,0.9987545914289794,1.0,0.997493353438899,0.0006447101746067905,0.0001559853549912174
29.0,0.9984424008098128,0.9998662539710438,0.9970205752775939,0.000727084041545835,0.00014821529122236425
30.0,0.9984424008098128,0.9998662539710438,0.9970205752775939,0.000727084041545835,0.00014044182917639884
31.0,0.9984424008098128,0.9998662539710438,0.9970205752775939,0.000727084041545835,0.00014046155585423198
32.0,0.9984424008098128,0.9998662539710438,0.9970205752775939,0.000727084041545835,0.00014048128807452333
33.0,0.9979744935673254,0.9996157907475314,0.9963358960967559,0.0008384265807031051,0.0001405010258396091
34.0,0.9978187174330028,0.9995292695926121,0.9961110926400847,0.000873905748665649,0.0001405207691518267
35.0,0.997196161189736,0.9991632848621007,0.9952329103333574,0.0010054835524581085,0.00014061887314603607
36.0,0.9968842770658844,0.9989725321955197,0.9948003872309354,0.0010676680335831132,0.0001406386495944628
37.0,0.9968842770658844,0.9989725321955197,0.9948003872309354,0.0010676680335831132,0.00012506873091157797
38.0,0.9968842770658844,0.9989725321955197,0.9948003872309354,0.0010676680335831132,0.00012508437505562303
39.0,0.9968842770658844,0.9989725321955197,0.9948003872309354,0.0010676680335831132,0.00012521835080312303
40.0,0.9968842770658844,0.9989725321955197,0.9948003872309354,0.0010676680335831132,0.00012533308622401213
41.0,0.9968842770658844,0.9989725321955197,0.9948003872309354,0.0010676680335831132,0.0001411094444369615
42.0,0.9968842770658844,0.9989725321955197,0.9948003872309354,0.0010676680335831132,0.00014112935912242102
43.0,0.9968842770658844,0.9989725321955197,0.9948003872309354,0.0010676680335831132,0.00014114927942976755
44.0,0.9965714808863096,0.9987766078611824,0.9943712224525472,0.0011277089157355144,0.0001335274046495684
45.0,0.9965714808863096,0.9987766078611824,0.9943712224525472,0.0011277089157355144,0.00014159867993817257
46.0,0.9965714808863096,0.9987766078611824,0.9943712224525472,0.0011277089157355144,0.00012625950124611526
47.0,0.9965714808863096,0.9987766078611824,0.9943712224525472,0.0011277089157355144,0.00011061917544554335
48.0,0.9962571895202676,0.9985761042175311,0.9939436598561033,0.001186206406972128,0.00011063141340127216
49.0,0.995943023829322,0.9983725238478138,0.9935194359029589,0.0012430973801167402,0.00011064365406510526
50.0,0.9956288106596096,0.9981661730146426,0.9930978983405474,0.0012986261156602457,0.0001265291041188392
51.0,0.9956288106596096,0.9981661730146426,0.9930978983405474,0.0012986261156602457,0.00014245089082426095
52.0,0.9956288106596096,0.9981661730146426,0.9930978983405474,0.0012986261156602457,0.0001583972233976198
53.0,0.9953131889285558,0.9979561398788168,0.9926772374740105,0.0013530233085714905,0.00015842231705276517
54.0,0.9949969455828489,0.9977436550070733,0.9922577976325795,0.0014065142222575017,0.00015844741865996028
55.0,0.9946803854134548,0.9975288062074008,0.9918400982202319,0.00145898695426532,0.00014275255800693312
56.0,0.9946803854134548,0.9975288062074008,0.9918400982202319,0.00145898695426532,0.0001427729392092194
57.0,0.9946803854134548,0.9975288062074008,0.9918400982202319,0.00145898695426532,0.0001588570040021379
58.0,0.9946803854134548,0.9975288062074008,0.9918400982202319,0.00145898695426532,0.00019916281567104605
59.0,0.9943642847561439,0.9973114306947752,0.9914258479016725,0.001509959280249445,0.00020766801326540358
60.0,0.9940475856750304,0.9970918987716856,0.9910125674510363,0.0015601626419907842,0.00019190735265246341
61.0,0.9937305384199624,0.9968706757557,0.9906002925001598,0.0016097062965959477,0.00017613546938443478
