,n_exposures,max_similarity_to_exposer,have_belief,references,pl2,n_existing_beliefs,in_deads,n_fresh_candidates,startup,treatment,game_player_clue_id,game_player_id,game_id,start,stop,adopt_event,forget_event,treatment_n_exposures,treatment_references,treatment_pl2,treatment_n_existing_beliefs,treatment_n_fresh_candidates,treatment_max_similarity_to_exposer,treatment_in_deads,mse_game_2020_02_25T20_36_00_288Z,treatment_mse_game_2020_02_25T20_36_00_288Z,control_mse_game_2020_02_25T20_36_00_288Z
17,2,0.6666666666666666,False,0,0.0,12,False,2,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_6,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,299.879,300.085,0.0,False,0,0,0.0,0,0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666
18,2,0.7777777777777778,False,0,0.0,13,False,1,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_6,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,300.085,312.337,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7777777777777778,0.0,0.7777777777777778
19,2,0.7777777777777778,False,0,0.0,13,True,0,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_6,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,312.337,335.794,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7777777777777778,0.0,0.7777777777777778
20,2,0.7777777777777778,False,0,0.0,12,True,0,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_6,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,335.794,348.023,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7777777777777778,0.0,0.7777777777777778
21,2,0.7777777777777778,False,0,0.0,11,True,0,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_6,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,348.023,378.877,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7777777777777778,0.0,0.7777777777777778
22,2,0.6666666666666666,False,0,0.0,10,True,0,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_6,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,378.877,382.219,0.0,False,0,0,0.0,0,0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666
23,1,0.5,False,0,0.0,10,True,0,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_6,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,382.219,382.751,0.0,False,0,0,0.0,0,0,0.0,0.0,0.5,0.0,0.5
24,1,0.5,False,0,0.0,9,True,0,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_6,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,382.751,387.827,0.0,False,0,0,0.0,0,0,0.0,0.0,0.5,0.0,0.5
25,1,0.5,False,0,0.0,8,True,0,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_6,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,387.827,389.983,0.0,False,0,0,0.0,0,0,0.0,0.0,0.5,0.0,0.5
26,1,0.375,False,0,0.0,7,True,0,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_6,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,389.983,445.744,0.0,False,0,0,0.0,0,0,0.0,0.0,0.375,0.0,0.375
